DiseaseID	Score
143890	2.08004902466176e-05
601410	1.47794612111635e-05
601665	1.36338766449255e-05
222100	1.35444017005158e-05
613375	8.20458000921244e-06
615474	7.93192821541677e-06
151660	7.70403919151438e-06
608594	7.60034921758304e-06
603776	7.5715046713096e-06
610947	7.50366743663134e-06
125853	7.49050026908386e-06
269700	7.4074805362017e-06
614736	7.30646779243685e-06
615703	7.18674532977584e-06
616192	7.18603610647477e-06
602522	7.13539847026993e-06
603813	6.93483650582091e-06
615158	6.90338177789239e-06
614190	6.61060491147625e-06
219090	6.59267661353633e-06
167800	6.33308084272075e-06
605814	6.31423628810513e-06
602014	6.10122186687492e-06
144250	3.90588329662965e-06
238600	3.49438773312473e-06
125852	8.93107210975719e-07
616214	8.1652413128904e-07
240900	6.7545511038967e-07
614028	6.54081082413971e-07
602247	6.48448719153415e-07
144650	5.7751485035241e-07
602025	5.67105179220676e-07
613677	5.65002295971446e-07
144300	5.61159443751817e-07
615457	5.58483622293033e-07
107741	5.51587976506168e-07
190430	5.48271341640398e-07
144400	5.47074912379789e-07
203800	5.40456414533409e-07
612520	5.36151208033024e-07
616511	5.12921869268154e-07
144010	4.96559731294023e-07
304900	4.91892220653444e-07
136120	4.74982814206135e-07
616329	4.7124679520107e-07
207750	4.56382208074961e-07
262190	4.50738668042097e-07
108725	4.40169677003257e-07
605019	4.39963508773591e-07
601666	4.36828895376296e-07
147630	4.2670320475953e-07
612780	4.22736371894961e-07
613877	4.19443020635028e-07
240600	4.08539830286209e-07
277460	4.01467633910707e-07
608600	4.011693586786e-07
145750	3.90644230089989e-07
612526	3.8252787619912e-07
604367	3.79258368765062e-07
223500	3.77890889010327e-07
615954	3.70942591396061e-07
215720	3.63945693583114e-07
608320	3.62246148638284e-07
610374	3.44603395553869e-07
246200	3.32244506176198e-07
607364	3.3057315768171e-07
125800	3.20344660764907e-07
615238	2.98177232379352e-07
614496	2.86268960167786e-07
144600	2.80890371958552e-07
614492	2.75866645723345e-07
260370	2.74524312648711e-07
615830	2.66252786339906e-07
614495	2.6625052959122e-07
306000	2.65520532670273e-07
615962	2.54481481372367e-07
263800	2.52987484606247e-07
219080	2.45697866961071e-07
610475	2.45697866961071e-07
610489	2.45697866961071e-07
260350	2.38553058840793e-07
601942	2.37724607164864e-07
610600	2.37179068788898e-07
601198	2.28393865151263e-07
610508	2.24948961499669e-07
614491	2.21786327554886e-07
601820	2.20269909810986e-07
613090	2.182947321391e-07
608709	2.13755101910406e-07
601678	2.1295975172422e-07
154020	2.12771426645957e-07
615160	2.12332831182261e-07
611718	2.10631688249918e-07
125851	2.0770541420479e-07
300200	2.07595449523851e-07
125850	2.0612762269537e-07
241200	2.02270698788733e-07
103900	1.96217065323139e-07
152200	1.70365376796209e-07
606824	1.67564358238794e-07
615812	1.57123616405238e-07
177200	1.56035548498825e-07
606392	1.55704030284386e-07
143470	1.54142646812306e-07
118830	1.52414567395877e-07
615947	1.5221397122044e-07
145260	1.47788159495207e-07
600496	1.46826594069112e-07
300539	1.46116254445966e-07
613327	1.43112491513341e-07
191540	1.39173323640386e-07
143860	1.33761184662348e-07
600089	1.33437039483515e-07
610582	1.32138851066196e-07
606721	1.29094244968917e-07
605115	1.28037133704837e-07
614025	1.26576821947676e-07
608189	1.25715140492011e-07
229500	1.18624098318901e-07
612227	1.18590289828507e-07
613370	1.18556705780924e-07
613743	1.11773988048021e-07
126900	1.11641625018899e-07
612671	1.09684904143477e-07
612225	1.0939752657093e-07
614662	1.09103765829232e-07
167755	1.08753330095189e-07
605911	1.0590086008358e-07
616095	1.03148754849378e-07
232220	1.03030693962381e-07
126150	1.01109749530182e-07
191530	1.00773870295948e-07
606394	1.00183952976158e-07
103230	9.95567610584195e-08
151800	9.70837275437642e-08
609812	9.59315810462777e-08
615751	9.52002104770756e-08
276700	9.51008222520334e-08
614033	9.45119431268358e-08
171200	9.43170419654899e-08
208300	9.38914374034198e-08
609734	9.24006518473925e-08
615026	9.23544701781623e-08
613347	9.17557792586496e-08
268040	9.16429714789534e-08
167770	8.84071552483576e-08
609975	8.5965024555123e-08
229800	8.5358387829405e-08
269200	8.2261430760951e-08
260450	8.06573774052617e-08
263600	7.92187749592421e-08
609197	7.89170791527103e-08
209300	7.76340184165096e-08
232200	7.62972764775569e-08
613886	7.26145449439777e-08
174050	7.02601062753944e-08
138900	6.17463258029822e-08
601941	5.96150665383529e-08
177735	5.85943480595749e-08
205400	5.46479442042516e-08
557000	5.38471652589319e-08
240150	5.05035435612307e-08
610021	5.00002622769294e-08
203400	4.95963770830979e-08
256450	4.64685788763431e-08
304800	4.43720536094547e-08
609968	4.36538078354379e-08
241150	4.16952484290506e-08
264350	4.03727530093565e-08
615961	4.00698283821622e-08
305700	3.96876516778787e-08
232240	3.85253515553409e-08
245900	3.5946075458549e-08
218030	3.44638851509983e-08
251120	3.42535456183168e-08
610199	3.2431490349116e-08
207780	3.15046463940333e-08
138040	3.11685632518411e-08
129840	3.08771933041369e-08
109160	3.06669515728209e-08
615517	2.81608419306126e-08
602485	2.75633697019061e-08
240200	2.75550745301281e-08
109600	2.67539505932243e-08
239350	2.59741370609697e-08
214700	2.59524559407148e-08
607616	2.50047119129568e-08
179820	2.4879425161172e-08
606528	2.37980266836247e-08
602475	2.28235461196402e-08
601223	2.28027183561737e-08
194470	2.24709256343023e-08
240300	2.22012944125866e-08
615361	2.21919982890408e-08
606762	2.04433785168854e-08
600955	2.00004714800922e-08
210740	1.86655176849481e-08
249599	1.86655176849481e-08
200100	1.78875280161035e-08
615558	1.78875280161035e-08
166700	1.72657075935971e-08
209010	1.72657075935971e-08
241080	1.72657075935971e-08
560000	1.72657075935971e-08
600952	1.70497038326744e-08
168820	1.62919477444084e-08
145270	1.48626014309251e-08
150170	1.47002110387489e-08
177600	1.46620816373036e-08
143880	1.39639102635719e-08
239199	1.30973244185529e-08
124060	1.19911268775486e-08
602722	1.08173570781436e-08
132810	1.04845936312475e-08
600166	9.53074081675109e-09
232900	9.44002709492573e-09
