DiseaseID	Score
143890	1.94642595617221e-05
601410	1.51693899153077e-05
222100	1.37421386698933e-05
601665	1.3057201412443e-05
615474	8.20676560766424e-06
613375	8.12413308654013e-06
125853	8.05934160184534e-06
151660	7.77654653602978e-06
608594	7.76992240144139e-06
603776	7.73887316403464e-06
615703	7.45793284153216e-06
614736	7.41086815143836e-06
602522	7.12123759708381e-06
269700	6.76877156680982e-06
615158	6.72978753813566e-06
610947	6.57107180951904e-06
616192	6.5029749871932e-06
219090	6.36978921641305e-06
603813	6.36197283724335e-06
614190	6.13198730646081e-06
602014	5.90674931558818e-06
605814	5.71218397893651e-06
167800	5.4953524401248e-06
144250	3.90967314926273e-06
238600	3.51959938085726e-06
125852	8.89948938740406e-07
616214	8.22482802654156e-07
240900	6.5600477273407e-07
602247	6.21237728699081e-07
614028	6.17574286917332e-07
613677	5.67313528517603e-07
144650	5.53158987661747e-07
602025	5.46221389875361e-07
615457	5.37896053147438e-07
144300	5.35450458440399e-07
203800	5.31736431670632e-07
190430	5.27836053398501e-07
107741	5.26928252713759e-07
144400	5.19939175880443e-07
612520	5.11073028592054e-07
304900	4.95734459802328e-07
616511	4.93882496127997e-07
144010	4.67976666333527e-07
616329	4.53540096962378e-07
136120	4.4947133039152e-07
262190	4.47879627787722e-07
207750	4.34518094857431e-07
108725	4.26349492569977e-07
601666	4.23341357592913e-07
605019	4.20598030680367e-07
147630	4.19974102595649e-07
612780	4.15704543135474e-07
613877	4.15015893415029e-07
240600	4.10645981881687e-07
608600	3.93891435905861e-07
277460	3.75539634184808e-07
612526	3.74239067289549e-07
604367	3.71052597997757e-07
145750	3.69377099233757e-07
615954	3.69208466454256e-07
223500	3.65710584405392e-07
610374	3.55980714007931e-07
608320	3.48254810852116e-07
215720	3.46778548607452e-07
607364	3.33576634032233e-07
246200	3.25349245679694e-07
125800	3.24955142295253e-07
615238	3.03402657337394e-07
614496	2.82648831561147e-07
614492	2.72300849167334e-07
260370	2.70296485562072e-07
614495	2.62631236683461e-07
144600	2.60402596867608e-07
615830	2.54399463073588e-07
615962	2.53363230098477e-07
263800	2.46494583207902e-07
306000	2.46436009469784e-07
601942	2.41802168203239e-07
610600	2.37150263239412e-07
219080	2.34415027033304e-07
610475	2.34415027033304e-07
610489	2.34415027033304e-07
610508	2.31203336783666e-07
260350	2.22914300340579e-07
601198	2.21682259137364e-07
601820	2.19767877947563e-07
614491	2.19638021020947e-07
613090	2.1762577105043e-07
125851	2.14402636798532e-07
125850	2.12696191105699e-07
601678	2.12186656839063e-07
300200	2.11984516834978e-07
615160	2.11229925016686e-07
154020	2.06060334207566e-07
608709	2.04373344670515e-07
611718	2.04086556293418e-07
241200	2.01480547838594e-07
103900	1.97868961574957e-07
606824	1.67293174741598e-07
606392	1.63031431044925e-07
177200	1.59815785117448e-07
