GeneNames	Score
KANK1	8.91153302142371e-06
ABCF2	8.90312061789636e-06
VAMP1	8.89333616056683e-06
NUDCD1	8.8929522781523e-06
IMPA1	8.88677898776796e-06
ANKK1	8.88398605444451e-06
KLHL35	8.88386438711163e-06
MRM2	8.87550128703506e-06
PM20D1	8.86541298221744e-06
DPP7	8.85742008338149e-06
PCSK5	8.85578240811915e-06
AUH	8.85380078514361e-06
FRRS1	8.850673687276e-06
DNAJB12	8.845969630317e-06
WNT10B	8.84585286550899e-06
NUP160	8.84487592557995e-06
SLC12A2-DT	8.83917450335352e-06
VDAC2	8.83342001833087e-06
PPP2R2B	8.83114751766844e-06
CISD1	8.83044191949201e-06
CELF1	8.82817031772828e-06
DNAJC18	8.82691415870122e-06
NSMAF	8.82669720019555e-06
ABTB1	8.82633993659271e-06
NINJ2	8.82400368550953e-06
BAK1	8.82398155941881e-06
DFFB	8.82198037811269e-06
PHACTR4	8.82058346558568e-06
ZNF736	8.82043363407284e-06
RIN1	8.81636813861159e-06
TSPAN4	8.81249028528242e-06
UBAP1	8.8112648442043e-06
GSDMD	8.80999659621138e-06
ARPC5	8.80936329921601e-06
RPA2	8.80599045331195e-06
SRGAP2C	8.80529191526761e-06
TAMM41	8.79970709687156e-06
FDXACB1	8.79930456770206e-06
SLC22A1	8.79679697747104e-06
PRKAR2B	8.79524388733863e-06
MPZL2	8.79511877558862e-06
MBOAT1	8.79147437247817e-06
EXT2	8.79085211242738e-06
MRPS21	8.78915219366012e-06
POLR3G	8.78197486698598e-06
NMT2	8.77877548025908e-06
NUP98	8.77774537882667e-06
C1R	8.77083562015339e-06
RASL11A	8.77043195157912e-06
ATP13A2	8.76892782784539e-06
TNFRSF10A	8.76485331217072e-06
NEDD1	8.76189170878334e-06
NFX1	8.76081783015471e-06
UAP1L1	8.75656975802017e-06
NFIL3	8.75637844459313e-06
SIK2	8.75388128135669e-06
CUL7	8.75249709327858e-06
IPMK	8.75041926974681e-06
LINC00987	8.74972462705415e-06
PGLYRP4	8.74733349156822e-06
CENATAC	8.74657295557281e-06
BLOC1S2	8.74259466902221e-06
SLC35A5	8.73571640870464e-06
