DiseaseID	Score
143890	1.9323986491279e-05
601410	1.50870344893232e-05
222100	1.37670515321857e-05
601665	1.31011826066162e-05
615474	8.14255503667961e-06
613375	7.99102347193812e-06
125853	7.91127287260481e-06
603776	7.86006397218171e-06
608594	7.71176799176844e-06
151660	7.65084233145245e-06
615703	7.49683124568322e-06
614736	7.45585024948753e-06
602522	7.00344691578072e-06
269700	6.75137967671512e-06
616192	6.65272489975079e-06
615158	6.61380322623113e-06
610947	6.56369707750626e-06
603813	6.30830561253259e-06
219090	6.26685638670652e-06
614190	6.20768071040597e-06
602014	5.90672529978258e-06
605814	5.86178251283618e-06
167800	5.48715543617288e-06
144250	3.84954212019632e-06
238600	3.46321443405946e-06
125852	8.9104062294853e-07
616214	8.20965585450563e-07
240900	6.5680807212131e-07
614028	6.23333877308487e-07
602247	6.18061408933858e-07
613677	5.67206519443507e-07
144650	5.58452722507531e-07
602025	5.46499752022984e-07
615457	5.38168332892336e-07
144300	5.33567430434998e-07
190430	5.28093756953575e-07
203800	5.27592399942227e-07
107741	5.23838509803527e-07
144400	5.18764385677845e-07
612520	5.1358857541678e-07
616511	4.95660693430292e-07
304900	4.93510438170567e-07
144010	4.6438661145972e-07
616329	4.56100632907406e-07
136120	4.46625302065466e-07
262190	4.45493286320084e-07
207750	4.30644426935313e-07
108725	4.27283220694487e-07
605019	4.26683851314001e-07
601666	4.26055581577564e-07
147630	4.20141367834939e-07
613877	4.12809432751005e-07
612780	4.12780332204048e-07
240600	4.10052985880627e-07
608600	3.90759338286553e-07
277460	3.73019681938782e-07
612526	3.7138779847303e-07
223500	3.68421529853616e-07
604367	3.6828158243942e-07
145750	3.66644114440371e-07
615954	3.66037970255015e-07
610374	3.52719669256944e-07
215720	3.50725649129398e-07
608320	3.49640051353663e-07
607364	3.29804329554424e-07
125800	3.25285132850153e-07
246200	3.22820491092051e-07
615238	3.01425673097587e-07
614496	2.81472181620022e-07
614492	2.71200788387318e-07
260370	2.69117814784727e-07
614495	2.61643503287066e-07
144600	2.58861707621947e-07
615830	2.53094934499493e-07
615962	2.50633296918791e-07
306000	2.50218765853021e-07
263800	2.46120369216752e-07
601942	2.40782810187046e-07
610600	2.34156828566336e-07
219080	2.33075278637983e-07
610475	2.33075278637983e-07
610489	2.33075278637983e-07
610508	2.27826137147911e-07
260350	2.23568760602671e-07
601198	2.21440032470991e-07
614491	2.19445726275764e-07
601820	2.19171619551759e-07
613090	2.1475076893273e-07
125851	2.11141264440506e-07
300200	2.10893246331003e-07
615160	2.10632239360218e-07
125850	2.09531255006017e-07
601678	2.09269243606005e-07
154020	2.06034997491945e-07
611718	2.03990748246489e-07
608709	2.02663035944569e-07
241200	1.98610546921988e-07
103900	1.96844150155738e-07
606824	1.6688565575643e-07
606392	1.60797717130875e-07
177200	1.58717625663451e-07
615812	1.57135683032648e-07
152200	1.56402672877654e-07
143470	1.54768153409127e-07
615947	1.53732203306758e-07
600496	1.52498584769973e-07
145260	1.50248007013089e-07
300539	1.48561861234166e-07
613327	1.44107466396058e-07
118830	1.40298146808564e-07
143860	1.38339071367459e-07
600089	1.37985400956534e-07
610582	1.36953869176775e-07
605115	1.30698267700582e-07
606721	1.26232981440082e-07
191540	1.26039410834871e-07
614025	1.19175396041976e-07
126900	1.16790215155749e-07
613370	1.16340506010176e-07
229500	1.15598988631396e-07
608189	1.1233494031449e-07
612227	1.08987165466435e-07
605911	1.08624927014761e-07
612225	1.07109275368202e-07
614662	1.07015397636967e-07
613743	1.06702375742974e-07
126150	1.04568650964666e-07
191530	1.03916737883565e-07
232220	1.00609948103984e-07
616095	9.92460765956385e-08
606394	9.8754331833649e-08
167755	9.86563332323365e-08
612671	9.75423016495841e-08
151800	9.61149126177823e-08
103230	9.47875019180168e-08
268040	9.45017332945777e-08
276700	9.23668002826686e-08
615751	9.21321696035367e-08
614033	9.20058725603265e-08
609734	9.03277627942433e-08
171200	8.98455601459399e-08
615026	8.92622106155631e-08
609812	8.53554200690333e-08
208300	8.33623672108096e-08
229800	8.30777963893524e-08
609975	8.30491193100864e-08
613347	8.07243016484215e-08
167770	7.78662055753058e-08
263600	7.68854662863563e-08
609197	7.65534711524279e-08
232200	7.47814006674628e-08
269200	7.33734235488106e-08
260450	7.03931423678738e-08
613886	6.99623131804449e-08
209300	6.77160510792594e-08
174050	6.1186487646815e-08
138900	5.98960015267203e-08
601941	5.9260648127362e-08
177735	5.86412658831378e-08
557000	5.35324006958971e-08
205400	5.19203406696554e-08
240150	4.99964367902776e-08
203400	4.99533241523439e-08
610021	4.87723309766751e-08
256450	4.54737388137706e-08
304800	4.45387167879685e-08
609968	4.35753600470737e-08
241150	4.1258094034899e-08
264350	4.01839736549706e-08
615961	3.9454088710379e-08
305700	3.84063968271313e-08
232240	3.67047927610015e-08
218030	3.44473742372438e-08
245900	3.42068880816236e-08
251120	3.33130093506531e-08
610199	3.17877702884711e-08
129840	3.09714598584509e-08
138040	3.08854365052447e-08
207780	3.07391230043134e-08
109160	2.96557957623619e-08
615517	2.7874145807771e-08
602485	2.73343541358618e-08
240200	2.72812178567831e-08
109600	2.64575732356999e-08
214700	2.60336442811345e-08
239350	2.58254723931246e-08
179820	2.50266505173307e-08
607616	2.38317329334805e-08
606528	2.36653449271791e-08
601223	2.26122346106674e-08
194470	2.24290384649241e-08
602475	2.22383608932881e-08
615361	2.16476193761564e-08
240300	2.13063779329887e-08
600955	2.0031650285713e-08
606762	1.99913017387322e-08
210740	1.82745599359483e-08
249599	1.82745599359483e-08
615558	1.7175000187425e-08
200100	1.7175000187425e-08
166700	1.69040693466512e-08
209010	1.69040693466512e-08
241080	1.69040693466512e-08
560000	1.69040693466512e-08
600952	1.67867116541449e-08
168820	1.62792267610008e-08
145270	1.47284092378394e-08
177600	1.44163704130456e-08
150170	1.40714244694036e-08
143880	1.40371938805028e-08
239199	1.29500412869806e-08
124060	1.21810154313085e-08
602722	1.07198494071734e-08
132810	1.05208573145381e-08
600166	9.74534402361724e-09
232900	8.72765570947902e-09
240800	6.82291531260813e-09
212067	5.94834048075063e-09
source	0
target	0
