DiseaseID	Score
602522	0.00172567755450115
607364	4.31608053615225e-05
612780	4.31603498294503e-05
613090	4.24930632075343e-05
601678	4.23883010638196e-05
241200	4.16766885214957e-05
610600	4.15948667250953e-05
304900	4.0613042863235e-05
143890	1.37287370437525e-05
601665	1.06561650725451e-05
601410	8.91360137148365e-06
603776	8.65631849669039e-06
222100	8.05837674961684e-06
616192	6.7909028902382e-06
613677	6.14044895105828e-06
603813	5.94481629632082e-06
615158	5.56614655539757e-06
615703	5.47902390189369e-06
615474	5.25428403009438e-06
263800	5.17438915545727e-06
613375	5.09703630046431e-06
605814	4.89003100299844e-06
610947	4.73565249112396e-06
608594	4.59814477580783e-06
614736	3.9565625820633e-06
219090	3.84542248034447e-06
304800	3.73466976394313e-06
601198	3.58142300998267e-06
167800	3.33216969581827e-06
241150	3.19467543190681e-06
602014	3.18954070347017e-06
613743	3.07538737709498e-06
203400	2.99738246851524e-06
614190	2.9919037794185e-06
300539	2.84264859458293e-06
264350	2.72973883737318e-06
144250	2.69619729667636e-06
125800	2.48600667551838e-06
238600	2.46440456997108e-06
214700	2.44666536093549e-06
269700	2.43049600216399e-06
614491	2.22647609649391e-06
125853	2.10132642937052e-06
177735	2.0318790145034e-06
300200	1.86455832172421e-06
239350	1.85638516139213e-06
239199	1.79671683071474e-06
615361	1.7836895489058e-06
614492	1.66148141247295e-06
177200	1.54757480828232e-06
614496	1.14747110283158e-06
143860	1.11052415723392e-06
218030	1.0668369264754e-06
611718	1.0563414055754e-06
151660	1.04537815955529e-06
143880	9.33020298008754e-07
125852	5.8253908669705e-07
614028	5.20791747249343e-07
145260	5.13322222191119e-07
616214	5.11286749541549e-07
240900	4.88547205994011e-07
602247	4.83110819103952e-07
144650	4.77740565677629e-07
144300	4.29637918185819e-07
602025	4.29311668501346e-07
154020	4.23652351080706e-07
144400	4.23266849279946e-07
615457	4.22874241059407e-07
190430	4.15204683194128e-07
614495	4.00893948741514e-07
612520	3.90291498533788e-07
107741	3.86718937573796e-07
616511	3.82842770836468e-07
605019	3.78704359731199e-07
616329	3.55307439580586e-07
108725	3.50007288379423e-07
144010	3.46854419181379e-07
601666	3.38123366822723e-07
136120	3.26011283427329e-07
605115	3.17284356888868e-07
207750	3.05715923244442e-07
608320	3.02072857882986e-07
129840	2.91688425408105e-07
223500	2.89827956552535e-07
215720	2.82071028333539e-07
103230	2.79465211739706e-07
277460	2.76932581944081e-07
240200	2.68351982270396e-07
615962	2.68301750897122e-07
203800	2.63511091872066e-07
240600	2.5850372490693e-07
103900	2.57185961496196e-07
147630	2.45270586884854e-07
145750	2.37865692833917e-07
262190	2.37319064608783e-07
615954	2.20059226311895e-07
615517	2.19289560781268e-07
306000	2.02142612840422e-07
144600	2.00850137278645e-07
613877	1.92869334322284e-07
600955	1.84351946460764e-07
610374	1.78142051939369e-07
615160	1.61200154323508e-07
260370	1.59983367689921e-07
608600	1.59450781462784e-07
612526	1.55047474480574e-07
260350	1.54956532144332e-07
143470	1.52293040692595e-07
604367	1.52251632242903e-07
615238	1.48303777852381e-07
138040	1.47515974865418e-07
615830	1.46605688402979e-07
601942	1.45981603256543e-07
601820	1.42919066873982e-07
609975	1.33887178025965e-07
219080	1.32050678983518e-07
610475	1.32050678983518e-07
610489	1.32050678983518e-07
246200	1.31076319550173e-07
606824	1.18706901545364e-07
615812	1.17425923761555e-07
191530	1.15562326508372e-07
152200	1.13848975982489e-07
615947	1.11918889606346e-07
125851	1.11015987843446e-07
126150	1.1099460135821e-07
125850	1.08586023468456e-07
606528	1.07590874205394e-07
610508	1.07189600618819e-07
614025	9.61951781527165e-08
118830	9.35469345057536e-08
602722	8.86248593995274e-08
229500	8.72760047336993e-08
191540	8.5984056725621e-08
613327	8.02903178599889e-08
616095	7.94777528125329e-08
615026	7.61378201561791e-08
613370	7.45940930204924e-08
612671	7.2906921675093e-08
615751	7.24329582815187e-08
614033	7.04082143000138e-08
232220	6.94731910477256e-08
608189	6.902662244701e-08
276700	6.83128648367677e-08
612225	6.75676687726998e-08
612227	6.72297980489323e-08
614662	6.64780683427558e-08
609734	6.44720176519321e-08
268040	6.42333263691072e-08
606392	6.4166287444524e-08
229800	6.2746938700697e-08
606394	6.09001250063906e-08
609197	5.98074494042165e-08
167755	5.95583707929137e-08
263600	5.94802989060982e-08
608709	5.71916001730062e-08
600496	5.57659562134638e-08
613886	5.49824947507856e-08
605911	5.36476419965921e-08
232200	5.32614004357847e-08
208300	5.19956913612473e-08
609812	5.1793076688303e-08
600089	5.0165618399433e-08
610582	4.99490002442702e-08
613347	4.93792739699675e-08
601941	4.77062195029676e-08
167770	4.74852236022829e-08
269200	4.67100036357455e-08
138900	4.41372527049831e-08
171200	4.38523446488874e-08
260450	4.31596310343779e-08
209300	4.15309547349078e-08
205400	4.13236909635786e-08
606721	3.8725115361158e-08
174050	3.74222790276761e-08
240150	3.56548485648804e-08
126900	3.51698024941382e-08
557000	3.50076117424039e-08
256450	3.34171091928696e-08
610021	3.30609758051259e-08
109160	3.26301722270777e-08
251120	3.20715731856469e-08
109600	3.17840352539711e-08
609968	2.98614866234588e-08
305700	2.94231334746901e-08
615961	2.79757322839308e-08
245900	2.76522890171487e-08
232240	2.69064937038062e-08
601223	2.41110549144327e-08
610199	2.29851872880971e-08
194470	2.290461772388e-08
602485	2.10300759183004e-08
168820	1.94989849966191e-08
607616	1.91869836951204e-08
151800	1.87781134380635e-08
207780	1.78762808272239e-08
124060	1.64006322625564e-08
177600	1.63583379464277e-08
602475	1.6308681932335e-08
606762	1.58340839277809e-08
150170	1.54012007405487e-08
240300	1.506132925139e-08
200100	1.45269682404848e-08
615558	1.45269682404848e-08
179820	1.33157793093792e-08
145270	1.32695675798961e-08
210740	1.32526787273996e-08
249599	1.32526787273996e-08
132810	1.23341771779196e-08
166700	1.22587548654737e-08
209010	1.22587548654737e-08
241080	1.22587548654737e-08
560000	1.22587548654737e-08
600952	1.17572470607154e-08
240800	7.16730803915742e-09
232900	6.51800422024398e-09
600166	4.58004255915834e-09
212067	4.57718437723206e-09
source	0
target	0
