DiseaseID	Score
602522	0.00177360704877652
612780	4.42967088605911e-05
607364	4.429355325946e-05
613090	4.3656502426011e-05
601678	4.35533535325809e-05
241200	4.2825199215233e-05
610600	4.27242741580181e-05
304900	4.16045749482789e-05
613677	6.08561882963239e-06
263800	5.26086125441862e-06
304800	3.82680004300989e-06
143890	3.68818179023441e-06
601198	3.63097692562693e-06
241150	3.2738245010941e-06
613743	3.12675076695917e-06
203400	3.06465374316126e-06
300539	2.86317528472762e-06
264350	2.79322904925269e-06
214700	2.5084604456042e-06
222100	2.49962749191706e-06
125800	2.42302337067438e-06
614491	2.20147825361301e-06
177735	2.06791545888652e-06
239350	1.90127036901503e-06
602014	1.8734953287086e-06
239199	1.84417929579302e-06
615361	1.82938515618475e-06
300200	1.81157403093843e-06
615474	1.79482867575439e-06
614492	1.57905555619962e-06
177200	1.52431580333673e-06
601410	1.25325018508519e-06
601665	1.14326345123372e-06
143860	1.10230392746989e-06
218030	1.08308912421783e-06
614496	1.04419958999081e-06
611718	1.0369649938893e-06
143880	9.54699448576534e-07
614190	9.29498422559003e-07
603776	8.56604915136154e-07
603813	6.41222213904942e-07
613375	6.33178589098755e-07
615158	6.30739293555572e-07
610947	6.02011994960306e-07
151660	5.98079553261305e-07
614736	5.95044973923517e-07
615703	5.94001567173543e-07
269700	5.82979291302563e-07
125853	5.70610076393853e-07
219090	5.66886064413421e-07
608594	5.64362275637032e-07
616192	5.50355532162405e-07
167800	5.47298545215726e-07
605814	5.3740165780343e-07
145260	4.62743702111717e-07
154020	3.86531336957189e-07
144250	3.50085073537658e-07
129840	2.85147878242338e-07
614495	2.84939265201961e-07
238600	2.84831366410605e-07
605115	2.69083772059619e-07
240200	2.63675885057384e-07
103230	2.53374982309957e-07
615517	2.10798908027521e-07
103900	2.09095048402595e-07
600955	1.79499677438032e-07
615962	1.50641949547394e-07
138040	1.37319923670257e-07
125852	1.16155574997633e-07
616214	1.13003017186939e-07
606528	9.75465106593317e-08
602247	9.10443032033336e-08
609975	8.51696396181524e-08
602722	8.50394199802542e-08
144300	8.21253922510184e-08
144400	8.14987508674141e-08
107741	7.89031209605192e-08
144010	7.57847542427677e-08
136120	7.38747815072632e-08
207750	6.92967916231508e-08
215720	6.69863782252808e-08
147630	6.67597681469704e-08
240600	6.54408401302539e-08
277460	6.42561507770314e-08
614028	6.34844410889262e-08
240900	5.71987415194721e-08
144650	5.64058383828429e-08
616329	5.54212439118015e-08
601666	4.84401629175659e-08
616511	4.81202159639803e-08
602025	4.71077020160998e-08
615457	4.63872426910454e-08
190430	4.54918260570497e-08
612520	4.54593631941155e-08
615160	4.50897229209093e-08
108725	4.48490097833026e-08
203800	4.33923334825799e-08
605019	4.06336864438293e-08
262190	3.74832339213238e-08
145750	3.72798311967921e-08
608320	3.40749541320776e-08
615954	3.3109693615153e-08
613877	3.30324562798643e-08
608600	3.26512230767383e-08
601820	3.22773609892892e-08
223500	3.12336569474086e-08
612526	3.09048372908246e-08
604367	3.0112787496904e-08
610374	2.96452245237277e-08
125851	2.96004749022499e-08
125850	2.91242617925994e-08
615830	2.8054284274117e-08
144600	2.74501384399054e-08
246200	2.61297275316302e-08
610475	2.59920938901813e-08
610489	2.59920938901813e-08
219080	2.59920938901813e-08
606824	2.54909825352152e-08
260350	2.48292061954157e-08
260370	2.4417327873474e-08
306000	2.3309735663276e-08
615238	2.32286986584009e-08
601942	2.20113306419974e-08
610508	1.89232515932901e-08
143470	1.84281983790502e-08
601941	1.74174796071039e-08
191530	1.73619377580593e-08
609734	1.70942503630988e-08
109160	1.70875450769157e-08
608709	1.67866013044815e-08
109600	1.60667525572701e-08
605911	1.50357436849649e-08
152200	1.46127838432082e-08
118830	1.45022417047479e-08
615026	1.44318422142596e-08
615812	1.42065385690516e-08
615947	1.35800237731954e-08
606392	1.35654842310048e-08
600496	1.30977514157169e-08
126150	1.29154199773184e-08
191540	1.28628569849426e-08
171200	1.28288242002931e-08
229500	1.25956094723903e-08
614025	1.23815860275309e-08
251120	1.21688381557951e-08
608189	1.19403627786397e-08
606721	1.19291997832284e-08
600089	1.16269875612319e-08
612227	1.13771832004533e-08
610582	1.12986655047867e-08
612671	1.1108020469917e-08
613370	1.09104131910403e-08
613327	1.08340163692519e-08
615751	1.07428541692878e-08
167755	1.05987535635202e-08
616095	1.05260069319322e-08
276700	1.05098215859392e-08
614033	1.04110785214646e-08
232220	1.01802973684477e-08
612225	9.8665247511022e-09
208300	9.39266917132628e-09
614662	9.2616368038489e-09
606394	9.03384180002042e-09
126900	8.96461795055789e-09
609812	8.90988760054831e-09
610021	8.86841644718123e-09
609968	8.54441874846879e-09
613347	8.50963934620148e-09
601223	8.47398019747906e-09
229800	8.36158519763199e-09
194470	8.24808328770908e-09
167770	8.21207405426295e-09
150170	8.10418368019628e-09
151800	8.10105396161934e-09
124060	8.0321465002649e-09
609197	8.00264297086331e-09
557000	7.92687359652502e-09
256450	7.88007366651521e-09
263600	7.85798532898087e-09
168820	7.73517969214072e-09
269200	7.56007171631763e-09
268040	7.55377048837506e-09
132810	7.48826541688687e-09
177600	7.45837758627727e-09
138900	7.41453887780584e-09
232200	7.31560948985972e-09
205400	7.11804837418746e-09
260450	7.11450030589201e-09
209300	6.83724479943881e-09
602485	6.32722065776186e-09
174050	6.13193069874623e-09
613886	6.02914952326235e-09
606762	5.13991198410544e-09
232240	4.98303725040908e-09
615961	4.67941089364975e-09
245900	4.58273228689289e-09
240150	4.19935613206732e-09
610199	3.43893495805303e-09
240800	3.42765185222183e-09
305700	3.32650111317657e-09
145270	3.27625423173512e-09
207780	3.02967519498134e-09
607616	2.95275874062979e-09
179820	2.85643372080432e-09
602475	2.46048709657789e-09
240300	2.36343415362589e-09
210740	2.06468086833796e-09
249599	2.06468086833796e-09
600952	1.97899993785438e-09
166700	1.90983120223525e-09
209010	1.90983120223525e-09
241080	1.90983120223525e-09
560000	1.90983120223525e-09
615558	1.7417850705429e-09
200100	1.7417850705429e-09
232900	1.2885868023398e-09
600166	8.17005813500199e-10
212067	6.33635425355556e-10
source	0
target	0
