GeneNames	Score
KLRC3	6.79778915112604e-06
RTN3	6.79757948815953e-06
CCZ1B	6.79486215260703e-06
ARMH1	6.79477304541967e-06
PHYH	6.79468415584858e-06
DOCK2	6.79297884420185e-06
PTGDS	6.79272422996056e-06
MORN3	6.79177856932258e-06
UQCRB	6.79071607056145e-06
DMAP1	6.7906041393812e-06
BTN3A1	6.79026814774871e-06
SSC4D	6.79013981257616e-06
HSF2	6.79012912533647e-06
CENPK	6.79007339818992e-06
LYRM4	6.78991927475101e-06
SFMBT1	6.78978391825603e-06
CUL9	6.78897459158603e-06
KRT81	6.78887798547061e-06
SH3BGRL3	6.78753480134518e-06
LLCFC1	6.78703695798406e-06
IL17RB	6.78675169917827e-06
TCP11L1	6.78652286339294e-06
CNIH4	6.78630847197456e-06
DPYD	6.78613861698564e-06
PATJ	6.78451557234248e-06
PLCL2	6.78403861050976e-06
NDOR1	6.78388034606201e-06
FANCD2	6.78308740179622e-06
CHI3L1	6.77891729921828e-06
DPF2	6.77605960078172e-06
LINC01187	6.77407742814445e-06
SERPING1	6.773453102292e-06
GPR160	6.77298763768946e-06
SARAF	6.77092044532708e-06
PRRT3	6.77071643903683e-06
CTSC	6.76960142762116e-06
SPATC1	6.76813407591095e-06
LINC02731	6.76619860972101e-06
HLA-DQA2	6.76579503448791e-06
FAAP20	6.76364672660803e-06
VLDLR	6.76280592886543e-06
DNA2	6.76143060271649e-06
GKAP1	6.75898483142929e-06
IBA57	6.75819415672537e-06
ELF3	6.75784608350853e-06
LINC00294	6.75782242923557e-06
HLA-B	6.755744975177e-06
AOC1	6.75512586031272e-06
CCDC80	6.75395961696949e-06
TMBIM4	6.75295564636254e-06
APTR	6.7527258062168e-06
BNIP1	6.75136828002583e-06
NUP107-DT	6.75085471420947e-06
BTN2A1	6.75084786389765e-06
LDLRAP1	6.75042351498645e-06
NXNL2	6.74728777567352e-06
ZP3	6.74673981257173e-06
ENPP4	6.74428232029644e-06
SAPCD2	6.74374796659157e-06
SMURF1	6.74235857085053e-06
AIP	6.74074219201078e-06
BLK	6.74057875134319e-06
SH3PXD2A	6.7399661546933e-06
LPL	6.73979352204481e-06
OPN3	6.73920350502493e-06
CCZ1	6.73915274239986e-06
UFSP1	6.73575470290802e-06
BRK1	6.73559097041623e-06
PAQR6	6.73543603136804e-06
H1-6	6.73433390633272e-06
UAP1L1	6.73342480317681e-06
RIC1	6.7322530237056e-06
GPR137	6.73065861383929e-06
AFDN	6.73022838335671e-06
FNBP1L	6.73012883676672e-06
TTLL11	6.7289421448373e-06
SHISA5	6.72832574479138e-06
FLOT1	6.72773996264881e-06
GLMP	6.72760967675858e-06
DPAGT1	6.72638119440679e-06
MDM2	6.72432931769574e-06
MYBPH	6.72329327221882e-06
DCTN6-DT	6.72251424310052e-06
TBXAS1	6.72162815170095e-06
PLEKHA8	6.72156397782072e-06
SMG5	6.7214314560722e-06
DPP7	6.72120897401871e-06
KLRG1	6.72083084922918e-06
KRT72	6.72071454449593e-06
SUCLG2	6.72070856882306e-06
BRAT1	6.71974080394518e-06
SFT2D1	6.71959637846349e-06
RNPEP	6.71952741262302e-06
CEP19	6.71938718083614e-06
SCN2B	6.71865794792216e-06
POM121C	6.71818504637115e-06
C3orf18	6.71734516920064e-06
DAP	6.717207775867e-06
NAV1	6.71696020372321e-06
KIAA1958	6.71665377847435e-06
ADAM19	6.71626219855645e-06
ENTPD2	6.71594547538265e-06
RAB44	6.71575168961649e-06
JAKMIP3	6.71423008022064e-06
NAA40	6.71395009667592e-06
IL20RB	6.71350292532752e-06
EPRS1	6.7126319139098e-06
PHC3	6.71249285526118e-06
PARP12	6.7122981102392e-06
TREM2	6.71170075729942e-06
ZNF669	6.71091940344769e-06
HSPBAP1	6.71011929967901e-06
PM20D2	6.71010550058861e-06
AGPAT2	6.70962331970118e-06
DHX32	6.70896443478104e-06
CRYZ	6.708868327767e-06
PARL	6.70876552563142e-06
SMPDL3B	6.70796647504089e-06
KCNK7	6.70749986506907e-06
PZP	6.70635738392419e-06
PFKP	6.70594838739261e-06
PKD2L1	6.70567109475835e-06
BCL10	6.70503068544309e-06
CDC42	6.7040344870131e-06
PSMD4	6.70333077482773e-06
OSTF1	6.70330765223921e-06
ZFP57	6.70245739853825e-06
ZSCAN26	6.70137192917393e-06
NSG2	6.70109979345083e-06
TMEM158	6.69928045400145e-06
WASHC1	6.69915325683976e-06
FARP1	6.69902401925932e-06
TRIM38	6.69869197873651e-06
DEPDC7	6.69801081755654e-06
ZDHHC6	6.69538702791677e-06
MRPL15	6.69527580481446e-06
SETD2	6.6951730643097e-06
LINC03072	6.694565867414e-06
RHOA	6.69374298175139e-06
C9orf78	6.69357624717023e-06
TMEM53	6.69341779096386e-06
RNF187	6.69285679615311e-06
COMMD5	6.6904834600668e-06
DTX2	6.68981354628133e-06
DHRS12	6.68763824427344e-06
TTC21A	6.68723697753397e-06
PLAGL1	6.68711518348366e-06
QRICH1	6.68706890176261e-06
PELI3	6.68703421605585e-06
NHERF4	6.68476216452427e-06
ORC3	6.68464733048214e-06
RFC4	6.68391397259058e-06
MASTL	6.68364419372339e-06
ST8SIA4	6.68338860716879e-06
ITLN2	6.68252715349856e-06
ZNF76	6.68164197826406e-06
MCF2L	6.68110432787847e-06
FAM20C	6.6807901923866e-06
TMEM176A	6.68062270870002e-06
STAB2	6.68037473831927e-06
LST1	6.6791581900169e-06
FUT11	6.6788474968161e-06
SUFU	6.67870246936011e-06
HABP4	6.67824995001966e-06
ACSL6	6.67758689925978e-06
ITGA2	6.67593644019247e-06
PPP1R18	6.67592752490034e-06
DPP3	6.67510962023203e-06
PARK7	6.67472041630053e-06
HCAR2	6.67435034667671e-06
ZNF736	6.67429546880987e-06
SNRNP48	6.67371507766774e-06
ANKRD10	6.67267428800353e-06
DENND2D	6.67240849815899e-06
BCKDHB	6.67213491667236e-06
GABPB2	6.67178838477739e-06
RPA2	6.67131581766295e-06
FAM153CP	6.67032901140055e-06
B4GALT7	6.6684915702764e-06
VNN2	6.66826457745887e-06
PADI6	6.66766378046627e-06
PPP1R17	6.66720143103376e-06
TOR1B	6.66499455504624e-06
SLC35G5	6.66333741116537e-06
TOR1A	6.66227706530765e-06
ZNF503	6.66215775441197e-06
CDCP1	6.66196122066408e-06
SZT2	6.65928353874643e-06
ARAP3	6.65849414577132e-06
TMEM65	6.6579712321561e-06
MEGF9	6.65711327883949e-06
LRRFIP2	6.65700775869144e-06
UIMC1	6.65691990691477e-06
KRT73	6.65505951544048e-06
CAMSAP1	6.65454107612845e-06
BCL7A	6.65338671452905e-06
TCTN2	6.65200230548816e-06
ADGRB1	6.65185740344533e-06
TAS2R5	6.65078193216389e-06
IER3	6.64981268799388e-06
HTATIP2	6.64960275691009e-06
FBXO42	6.64955378960801e-06
COQ5	6.64953717096612e-06
BTN2A2	6.64946935217106e-06
DUSP1	6.6493914444275e-06
HLA-DQB2	6.64796033603554e-06
DYNLT5	6.64784437367477e-06
NUP43	6.64637179353634e-06
NOTCH4	6.64629469033732e-06
MST1R	6.64617521617489e-06
HPCAL4	6.64368861374037e-06
GTF2E2	6.64342915666497e-06
JAGN1	6.64303223345113e-06
ADGRA2	6.64260169212267e-06
PRMT6	6.64217245133714e-06
HOOK1	6.641613663938e-06
RBMXL1	6.64139087644207e-06
SPRYD4	6.64128211735677e-06
C2CD2L	6.64055356817923e-06
PIP5KL1	6.63984298424537e-06
NOXA1	6.63981504177715e-06
LINC01409	6.63979710720051e-06
SNTB1	6.63936795038646e-06
GINM1	6.63930743476053e-06
HCLS1	6.63855806599888e-06
GGPS1	6.63779139248925e-06
CHD1L	6.63750212173979e-06
PNRC1	6.63676800041668e-06
MCM4	6.63674285359676e-06
PGLYRP4	6.63569440238075e-06
LINC02035	6.63538410937024e-06
TMEM79	6.63505259221782e-06
MTPN	6.63502926980169e-06
DDR2	6.63442328814256e-06
TRAPPC14	6.63395728767591e-06
MRPS33	6.63385466328151e-06
GLDC	6.63355949589059e-06
ZNF713	6.63298596858039e-06
IK	6.63298586665772e-06
MEIKIN	6.63224112608902e-06
SLC25A28	6.63058204483513e-06
CCDC7	6.63012318506934e-06
TAF11	6.63010631694562e-06
DDX39B	6.62984589928838e-06
SLC36A1	6.62964694472591e-06
SURF6	6.62926043316767e-06
AK2	6.6292269436926e-06
ZC3HAV1	6.62916860441757e-06
BSCL2	6.62835477501572e-06
LINC00987	6.62831975399011e-06
IFITM2	6.62805546400052e-06
CSTA	6.62804702283724e-06
EEIG1	6.62761683927201e-06
TMEM176B	6.6275875530174e-06
PTPA	6.62668150593371e-06
SNHG15	6.62545673446203e-06
CLN8	6.62470463640914e-06
TRPM6	6.6242922280952e-06
DIP2B	6.62184945135884e-06
MLEC	6.62141124170622e-06
APBB1IP	6.62087501039067e-06
MRPL21	6.62049153871833e-06
MROCKI	6.62022977316088e-06
GOLGA7B	6.61987416950432e-06
WDFY4	6.61945403602797e-06
PSMD9	6.61870885212712e-06
EPHA1	6.61822509841241e-06
LGSN	6.61806865963983e-06
SHC1	6.61736281936897e-06
ECE1	6.61689430813408e-06
FGD2	6.61654950039385e-06
TMEM109	6.61647070795762e-06
ASL	6.61635475107617e-06
NXPE3	6.61612652879432e-06
DNAAF5	6.61607632943039e-06
CEP57	6.61472577195406e-06
PGGT1B	6.61466777654184e-06
DEF6	6.61431566916359e-06
RBMS2	6.61356519163986e-06
IGHMBP2	6.61338918526242e-06
SCNM1	6.61277213679917e-06
TACR2	6.61268588049344e-06
TMT1B	6.61201520084421e-06
LTA	6.61200355497837e-06
PNP	6.61163956739515e-06
ARPC5	6.61101545290233e-06
GPR25	6.61092166299762e-06
MGST3	6.61063376373986e-06
PIP4K2A	6.61056376182169e-06
NARS2	6.61045314694031e-06
GNMT	6.61036387572554e-06
FBXO10	6.60975822506396e-06
EFCAB2	6.60951518989213e-06
THEM4	6.60922302861104e-06
IPMK	6.60907578552574e-06
ERMP1	6.60889925075283e-06
SMCO4	6.60857880390625e-06
GJA4	6.6085781337355e-06
CD63	6.60854307075194e-06
LINC02656	6.60827642474484e-06
KLRC1	6.60793603795962e-06
DNPH1	6.6075759124396e-06
TAP1	6.60745128673264e-06
