DiseaseID	Score	DiseaseName
143890	2.12301973746497e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.43457627653984e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.38457847336953e-05	NA
222100	1.38331852929229e-05	TYPE 1 DIABETES MELLITUS
613375	7.67702679365319e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
151660	7.57004937166991e-06	NA
603813	7.44853323613817e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
615474	7.37393391043325e-06	NA
603776	7.37345631740806e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
615703	7.31302413041115e-06	NA
608594	7.29320423148982e-06	NA
269700	7.26469833205407e-06	NA
614736	7.22783002362154e-06	NA
610947	7.1813921634065e-06	NA
125853	7.13054723153062e-06	TYPE 2 DIABETES MELLITUS
616192	7.05678977668909e-06	NA
615158	7.0457822432893e-06	NA
219090	7.04014684972767e-06	NA
602522	7.01098151634278e-06	NA
614190	6.82409514088767e-06	NA
602014	6.70095975173152e-06	NA
167800	6.69557244076476e-06	NA
605814	6.62457395064501e-06	NA
144250	4.05580094646904e-06	NA
238600	3.63974645768181e-06	NA
125852	8.8434449643885e-07	NA
616214	8.15053206736875e-07	NA
240900	6.76757816232282e-07	NA
614028	6.65392705165152e-07	NA
602247	6.61929912017798e-07	NA
144650	5.9460647832083e-07	NA
144300	5.72269303049729e-07	NA
602025	5.69463535077825e-07	NA
107741	5.66045587213033e-07	NA
613677	5.65581067488159e-07	NA
615457	5.60812034360902e-07	NA
144400	5.567319593607e-07	NA
190430	5.50485950381965e-07	NA
203800	5.41519320517256e-07	NA
612520	5.22246389854354e-07	NA
144010	5.106119813539e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
616511	5.04597965676573e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
304900	4.96284891676737e-07	NA
136120	4.86224693256257e-07	NA
207750	4.67861608889022e-07	NA
616329	4.61242278548567e-07	NA
605019	4.52634565451772e-07	NA
612780	4.4047059263249e-07	NA
108725	4.38893667765468e-07	NA
262190	4.38616242939566e-07	NA
147630	4.36773854275948e-07	NA
601666	4.27429242582486e-07	NA
240600	4.15449080743519e-07	NA
277460	4.12543812324891e-07	NA
613877	4.11744181716389e-07	NA
145750	3.93162358081444e-07	NA
608600	3.91773047312679e-07	NA
615954	3.76043954771155e-07	NA
612526	3.73660793951364e-07	NA
604367	3.70352031210084e-07	NA
223500	3.69157705880996e-07	NA
215720	3.67664760912712e-07	NA
608320	3.61888466014627e-07	NA
610374	3.33556824078121e-07	NA
125800	3.26499431193501e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
246200	3.24087645775501e-07	NA
607364	3.21318535877409e-07	NA
615238	2.92804182474332e-07	NA
144600	2.843455553884e-07	NA
614496	2.82246457010236e-07	NA
615830	2.79095171200299e-07	NA
306000	2.77461537523972e-07	NA
263800	2.73420152464052e-07	NA
260370	2.7295936225652e-07	NA
614492	2.71766304816272e-07	NA
614495	2.62452405965352e-07	NA
219080	2.58421806241014e-07	NA
610475	2.58421806241014e-07	NA
610489	2.58421806241014e-07	NA
615962	2.55606051225911e-07	NA
601198	2.48846106582224e-07	NA
260350	2.46350800175043e-07	NA
610600	2.34651752318152e-07	NA
154020	2.33456317521361e-07	NA
601942	2.31681877261085e-07	NA
611718	2.30634379816288e-07	NA
614491	2.16509666468981e-07	NA
613090	2.15818401469458e-07	NA
610508	2.15096948947605e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
601820	2.14894278803541e-07	NA
615160	2.12311392132889e-07	NA
601678	2.1164949384784e-07	NA
608709	2.09675384684957e-07	NA
300200	2.02143484201744e-07	NA
241200	2.01010107295316e-07	NA
125851	1.97794572702925e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	1.9631043067238e-07	MATURITY-ONSET DIABETES OF THE YOUNG
103900	1.93627387463383e-07	NA
152200	1.68171380217454e-07	NA
606824	1.67799242290686e-07	NA
615812	1.59523762814469e-07	NA
118830	1.59379917047579e-07	NA
615947	1.56188820597933e-07	NA
143470	1.53063698173245e-07	NA
606392	1.4992262821394e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
177200	1.47764270733524e-07	NA
600496	1.40842988675573e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
145260	1.3993336820527e-07	NA
300539	1.39142935643198e-07	NA
613327	1.38120137151456e-07	NA
191540	1.35129014816169e-07	NA
614025	1.32847034453478e-07	NA
608189	1.31365332264939e-07	NA
143860	1.29569784742391e-07	NA
600089	1.28757029848321e-07	NA
606721	1.27942281478466e-07	NA
610582	1.26505501882654e-07	NA
612227	1.21863315731144e-07	NA
605115	1.20487831470172e-07	NA
229500	1.19757577491655e-07	NA
613743	1.142430034012e-07	NA
613370	1.12921524086619e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
167755	1.12798865766619e-07	NA
126900	1.06765430619802e-07	NA
232220	1.0587899117164e-07	NA
612671	1.05410731110472e-07	NA
616095	1.04889624132073e-07	NA
605911	1.0421154541696e-07	NA
614662	1.03799035807276e-07	NA
612225	1.03785174877602e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
103230	1.01795519403561e-07	NA
609812	1.00241780201028e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
208300	9.85439252750082e-08	NA
126150	9.82796297748668e-08	NA
191530	9.79915630805535e-08	NA
276700	9.76443075277804e-08	NA
613347	9.66164274646139e-08	NA
615751	9.64707775279506e-08	NA
171200	9.64216696202751e-08	NA
151800	9.56296575148296e-08	NA
614033	9.48916061591022e-08	NA
606394	9.48676098189321e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
615026	9.37842242150826e-08	NA
167770	9.30688816503152e-08	NA
268040	9.27290023683398e-08	NA
609975	8.86041611498691e-08	NA
609734	8.76334088065585e-08	NA
229800	8.59164688165813e-08	NA
269200	8.55650909369667e-08	NA
