GeneNames	Score
MED23	6.8414164266656e-06
ARG1	6.84131558929925e-06
LY6G5B	6.83822923356785e-06
SPAG1	6.83765273887948e-06
PLEKHF2	6.8355185155607e-06
CACFD1	6.83373294201886e-06
LINC02044	6.83283352118331e-06
TNFRSF10A	6.83224777234125e-06
LINC00869	6.83130298942233e-06
CLEC4D	6.83083091753808e-06
POLM	6.83023644738713e-06
FDFT1	6.8294121162944e-06
ZNF775	6.82906683154104e-06
MAP3K12	6.82838657963491e-06
TOR1B	6.82835894663531e-06
LINC00900	6.82788241625627e-06
NT5DC1	6.82710638193364e-06
PROSER2	6.82596606302103e-06
MRPL18	6.82575389992272e-06
CHST2	6.82467412490592e-06
TAS2R20	6.82370609172868e-06
UAP1L1	6.82305549592109e-06
TUFT1	6.82277009798036e-06
DFFB	6.82268283357059e-06
AGPAT2	6.82228297418031e-06
ARL14EP	6.82122265467597e-06
FBXW8	6.81791559375085e-06
GSK3B	6.81678338419656e-06
CWF19L1	6.81637222455283e-06
CD47	6.81561908353993e-06
KANK1	6.81462244330238e-06
UBE2E2	6.81288124436738e-06
CUL7	6.81177145571007e-06
AUH	6.81164129528998e-06
ARPC5	6.81012156888779e-06
SLC22A15	6.81005816728453e-06
BAG4	6.80998279133022e-06
PLEKHM2	6.80923519640142e-06
CCNC	6.80870693227365e-06
HRK	6.80756899391577e-06
GPRIN1	6.80666054453475e-06
PADI2	6.80506933775367e-06
TAMM41	6.80505029018294e-06
THBS4	6.80454031531971e-06
SLK	6.80383527943959e-06
SLC35A5	6.80314265899225e-06
LGSN	6.80252295334199e-06
PRR4	6.80251723756521e-06
CEP19	6.80154501546504e-06
GOLPH3L	6.80012958723992e-06
NUAK2	6.79936311833934e-06
AKNA	6.79734761581681e-06
ST6GALNAC6	6.79597644468857e-06
C1GALT1	6.79501862897898e-06
SLC39A1	6.79500445469807e-06
TMEM79	6.79402509638298e-06
PRRC2A	6.79321865405187e-06
PNP	6.79251084023083e-06
LINC01267	6.79219094293347e-06
ADIPOR2	6.79127707528773e-06
DENND4C	6.79080478955843e-06
MRM2	6.79030759899174e-06
TRAPPC14	6.78989443013363e-06
ALKBH8	6.78896506747763e-06
GIMAP8	6.78859191517242e-06
LRRC39	6.78846509331572e-06
FCGR1BP	6.78803256417378e-06
PPP2R2B	6.78801078257827e-06
SH3BP5	6.78800490462635e-06
TRIM38	6.78643075267909e-06
ARSB	6.78624460541913e-06
EPHX2	6.7857230469282e-06
RITA1	6.78492948889786e-06
SP1	6.78448756909498e-06
LINC02446	6.78327133260145e-06
PLEKHA7	6.78275807446354e-06
WNT10B	6.78244419978603e-06
P4HTM	6.78238766178551e-06
AP4M1	6.7818249736745e-06
RAP1A	6.78146950192604e-06
BLOC1S2	6.7780908395281e-06
NUCKS1	6.77491061353692e-06
SLC35A4	6.77272084898322e-06
GBA2	6.7724432042137e-06
BSCL2	6.77197055969245e-06
CNR1	6.77076946671422e-06
AP3B1	6.77028292903922e-06
SCYL3	6.76923123852817e-06
MYLK4	6.76877834687963e-06
SLC9A9	6.76871308287834e-06
SLC9A1	6.76800216437111e-06
SAPCD2	6.76748572589743e-06
CCDC80	6.76718996512205e-06
COA6	6.76682118657089e-06
SLC30A7	6.7666586023689e-06
SNAPIN	6.76626334452084e-06
SCNM1	6.76541231286004e-06
SUSD1	6.76519109569545e-06
ELP1	6.76422109537741e-06
TAF1A	6.76291527045104e-06
CD164	6.76237759123157e-06
ZSCAN21	6.76221788937759e-06
PZP	6.76072155111131e-06
KLRG1	6.76040186885947e-06
SMIM1	6.76003652240343e-06
FAM168A	6.75925030905421e-06
TBC1D4	6.75861077895314e-06
CDC37L1-DT	6.75664141935473e-06
POLA2	6.7561683260708e-06
LINC01252	6.75542473699307e-06
SGMS1	6.75530544124024e-06
SNX18	6.75484249224228e-06
PHACTR4	6.75473150653754e-06
NCAPD2	6.75306535868359e-06
SMPDL3B	6.75304330398118e-06
ILF2	6.75283389378852e-06
RASL11A	6.75228621633806e-06
MS4A4A	6.75003430213724e-06
ERV3-1	6.74909930148301e-06
LRGUK	6.74892199902218e-06
KCNK7	6.74884047890597e-06
LINC02361	6.7480376699414e-06
CMTM8	6.74788542129157e-06
NBPF26	6.7455293576239e-06
SH3PXD2A	6.74430047077886e-06
C1orf115	6.74416525385307e-06
VAMP1	6.74370995478042e-06
DRAM2	6.74187084762001e-06
NECAP2	6.74087982281512e-06
GPX7	6.73958409716874e-06
MCM4	6.73957231049631e-06
CNPY2	6.73954678648136e-06
EFCAB14	6.73925008899466e-06
EPHA1	6.73912648866813e-06
TEX264	6.73878741884684e-06
HOXA3	6.73861318110223e-06
ANKK1	6.73827238224703e-06
ZBTB8OS	6.73825030586271e-06
RIC1	6.73820082643406e-06
HOXA1	6.7366888483415e-06
RPL27A	6.73603888295548e-06
LRRC23	6.73575844016665e-06
BSND	6.73467119460514e-06
HOXA2	6.73362778590564e-06
MBOAT1	6.73353690790276e-06
DENND2D	6.7330487338476e-06
ABCF2	6.73294220012372e-06
RAC1	6.73258988691428e-06
RPS20	6.73160360367417e-06
LINC01160	6.7306310305987e-06
MED27	6.73045755448687e-06
DNAJC3	6.72995933346738e-06
IMPA1	6.72974395915522e-06
PCSK5	6.72945383786284e-06
