GeneNames	Score
IL15RA	8.89960477204408e-06
ABTB1	8.89666792376003e-06
KIAA0040	8.89397928714479e-06
FGD4	8.8893303385494e-06
EPRS1	8.88025974657149e-06
FBXO42	8.87936324350039e-06
CGAS	8.8740082959022e-06
TMEM258	8.87322559664593e-06
PNRC1	8.87180853844988e-06
ATP7B	8.86841967003185e-06
MRPL15	8.86573830083282e-06
PRICKLE1	8.86409251330627e-06
WASHC1	8.86158736853562e-06
ARPC5	8.85983123708151e-06
SIK2	8.85635462539861e-06
TJP2	8.85299315890088e-06
ZFP91	8.84759820578293e-06
EPDR1	8.84591254964821e-06
RTN3	8.84499572419525e-06
TNFRSF10B	8.84422097599267e-06
ORC3	8.84403785158611e-06
PLEKHA8	8.83587896348968e-06
PPP1R18	8.82967693030233e-06
IRAK1BP1	8.8272846352674e-06
MUSTN1	8.82671708525204e-06
SLC25A46	8.82494535658855e-06
CHI3L1	8.8229183824638e-06
TKT	8.82268101783271e-06
TMEM89	8.82236125280823e-06
MGST3	8.81016655541073e-06
C3orf18	8.80966903943133e-06
ZNF669	8.8096024339423e-06
EPB41	8.80823404944323e-06
ERMP1	8.80657037271838e-06
DPAGT1	8.80341923802425e-06
TAS2R20	8.80132769465884e-06
DPYD	8.80036862824398e-06
PHKG1	8.79744535568719e-06
KIAA1143	8.7900215467307e-06
DAGLA	8.78634867588302e-06
HPCAL4	8.78561105938396e-06
GPR25	8.77543255777503e-06
MTSS1	8.77451927780278e-06
HENMT1	8.76766235840523e-06
LINC02731	8.76735387224736e-06
OSTF1	8.75935015702751e-06
GKAP1	8.75882562137961e-06
SLC35G5	8.75698652175771e-06
TBXAS1	8.75430920340987e-06
IK	8.75320441953556e-06
LEPROTL1	8.75131880802849e-06
RBP5	8.74804121495632e-06
TGS1	8.74757682654004e-06
INCENP	8.74683668555621e-06
SF3B2	8.74329064919892e-06
PLA2G2C	8.73967390064355e-06
IVNS1ABP	8.73881948489549e-06
PKD2L1	8.73673221984443e-06
SLC25A25	8.73421646409648e-06
PITX1	8.7334388235752e-06
PSMD4	8.73204914777092e-06
TRIM68	8.72412718937269e-06
GTF2E2	8.72374060914876e-06
NUTM2A	8.72203074088819e-06
FAM76B	8.71721721478606e-06
RGP1	8.71643592484186e-06
LINC02656	8.71635881211688e-06
PADI6	8.71559377665275e-06
ZSCAN26	8.71323753545837e-06
MORN3	8.7115143955585e-06
GPR160	8.70909533938003e-06
STIMATE	8.70902130056933e-06
COQ5	8.7085509853619e-06
NEAT1	8.69956579030997e-06
PRMT6	8.69852750892636e-06
LCNL1	8.69745305686394e-06
MCM4	8.6955789184238e-06
KIAA2013	8.69491089933427e-06
ACCS	8.68924532403444e-06
TREML2	8.68899957761387e-06
GNG11	8.6874738108375e-06
BYSL	8.68634119689267e-06
TMEM68	8.68585232786576e-06
CELSR2	8.68086260686317e-06
CDC42SE2	8.68011605408552e-06
NUP107-DT	8.67924994821048e-06
DPF2	8.67780366414542e-06
PLOD1	8.67624392255548e-06
DENND2D	8.67604056465177e-06
TESMIN	8.67513157224434e-06
DNA2	8.67181421215872e-06
PZP	8.67167903328128e-06
SH3PXD2A	8.67018498683089e-06
DUSP1	8.66356543646018e-06
LDHAL6A	8.65874984325818e-06
DOCK2	8.65506352041443e-06
SMAD5	8.65503198236202e-06
TNFRSF10C	8.65318655092213e-06
CCDC7	8.65308464928072e-06
CREB3	8.65211654988413e-06
TMT1B	8.65176698316301e-06
LINC01187	8.6446407745346e-06
MPC1	8.64311644260515e-06
CD63	8.64284703972326e-06
JAKMIP3	8.63859576888646e-06
MASTL	8.63684054365011e-06
PRH1	8.63378643247388e-06
GSTO2	8.63141480539772e-06
PATJ	8.62808726088744e-06
MYBPH	8.62446446816253e-06
TIMMDC1	8.62366573419358e-06
DAP	8.62250984178144e-06
LST1	8.62226431175573e-06
B4GALT7	8.61930253644075e-06
PROB1	8.61797979789382e-06
TOMM6	8.61796086184206e-06
PTGDS	8.61633387907642e-06
DPP7	8.61466362206197e-06
PARP12	8.61311249855778e-06
NDUFA2	8.60739982387677e-06
ZNF589	8.60541814218663e-06
KLRG1	8.60519902436267e-06
CSTA	8.60388070075792e-06
CHPT1	8.60380820930521e-06
PGGT1B	8.60295237436205e-06
SMCO4	8.60279777831024e-06
FGD2	8.59594034329177e-06
STAB2	8.59422226631282e-06
ADTRP	8.59229977970745e-06
RHOA	8.59212798917049e-06
BTBD10	8.59157467335458e-06
RPRD2	8.58861165563214e-06
PFKP	8.58656532759117e-06
ODF2	8.58629958372894e-06
UBQLN1	8.58587952035069e-06
EIF2B1	8.58584057450544e-06
PITRM1	8.58286962981972e-06
BRAT1	8.58148117738002e-06
CNOT7	8.58099255929183e-06
KLRC3	8.57983281402285e-06
NXNL2	8.57915349918526e-06
CCZ1B	8.57411235268415e-06
MST1	8.57372381637612e-06
FLOT1	8.57287523215354e-06
CCDC25	8.57064062656855e-06
