GeneNames	Score
ABCF2	8.9031206179295e-06
VAMP1	8.89333616064335e-06
NUDCD1	8.89295227822416e-06
IMPA1	8.88677898785055e-06
ANKK1	8.8839860544825e-06
KLHL35	8.88386438718845e-06
MRM2	8.87550128706155e-06
PM20D1	8.86541298228608e-06
DPP7	8.85742008345348e-06
PCSK5	8.85578240821295e-06
AUH	8.85380078520715e-06
FRRS1	8.85067368734914e-06
DNAJB12	8.84596963039309e-06
WNT10B	8.84585286555254e-06
NUP160	8.84487592558673e-06
SLC12A2-DT	8.83917450342359e-06
VDAC2	8.83342001840588e-06
PPP2R2B	8.83114751771883e-06
CISD1	8.83044191953117e-06
CELF1	8.82817031778217e-06
DNAJC18	8.82691415879009e-06
NSMAF	8.82669720020127e-06
ABTB1	8.82633993662547e-06
NINJ2	8.82400368556926e-06
BAK1	8.82398155948312e-06
DFFB	8.8219803781549e-06
PHACTR4	8.82058346563986e-06
ZNF736	8.8204336341244e-06
RIN1	8.81636813867889e-06
TSPAN4	8.81249028534527e-06
UBAP1	8.81126484424824e-06
GSDMD	8.80999659624071e-06
ARPC5	8.80936329926324e-06
RPA2	8.80599045339773e-06
SRGAP2C	8.80529191534068e-06
TAMM41	8.79970709691953e-06
FDXACB1	8.79930456775728e-06
SLC22A1	8.79679697747772e-06
PRKAR2B	8.79524388738847e-06
MPZL2	8.79511877565413e-06
MBOAT1	8.79147437253345e-06
EXT2	8.79085211247891e-06
MRPS21	8.78915219370705e-06
POLR3G	8.78197486706064e-06
NMT2	8.77877548031482e-06
NUP98	8.77774537888022e-06
C1R	8.77083562020983e-06
RASL11A	8.77043195163167e-06
ATP13A2	8.76892782791926e-06
TNFRSF10A	8.76485331219504e-06
NEDD1	8.76189170887099e-06
NFX1	8.76081783018983e-06
UAP1L1	8.75656975807755e-06
NFIL3	8.75637844465257e-06
SIK2	8.75388128142506e-06
CUL7	8.75249709331991e-06
IPMK	8.7504192697857e-06
LINC00987	8.74972462713877e-06
PGLYRP4	8.74733349162138e-06
CENATAC	8.74657295561283e-06
BLOC1S2	8.74259466910715e-06
SLC35A5	8.73571640875979e-06
GBA2	8.73493678435168e-06
SGMS1	8.73402372365741e-06
LINC02212	8.73201973029237e-06
NUCB2	8.73090848094012e-06
H3C6	8.72758726786827e-06
GRTP1	8.72640150239445e-06
ILF2	8.72573435294412e-06
CARD9	8.72541027863434e-06
PI16	8.72332513880539e-06
MED23	8.71773694025413e-06
MRPL18	8.71641477329542e-06
CDC37L1-DT	8.7148096731501e-06
NIPAL4	8.71111210617345e-06
LMNTD2	8.70651332600673e-06
TSPYL4	8.70597182272015e-06
AQP10	8.70576907404665e-06
MFN2	8.70540450143247e-06
SLK	8.70418123432417e-06
ARG1	8.70073565167272e-06
GPR83	8.70026790326323e-06
LY6G5B	8.7000245906041e-06
HCAR2	8.69952336027604e-06
UBE4A	8.69893276820687e-06
ANKS6	8.69854596786652e-06
SUSD1	8.69503700828738e-06
SNHG15	8.69463068539313e-06
TNIP1	8.69301123741885e-06
PLEKHA7	8.69245702651205e-06
RIC1	8.6910963831947e-06
RAB44	8.69000095355969e-06
SLC18B1	8.68963189324647e-06
ARL14EP	8.68793666319021e-06
GGACT	8.68492652515644e-06
ST6GALNAC6	8.68474573355077e-06
NCKAP1L	8.6843369135642e-06
NXF1	8.67962623211484e-06
LY6G5C	8.67915702944186e-06
ADIPOR2	8.67316970137335e-06
CLIC4	8.66838620078267e-06
NUAK2	8.66590129365961e-06
MIIP	8.66589156527645e-06
ARHGAP26	8.6650825432155e-06
LRGUK	8.66476796857539e-06
LINC02021	8.66077620815538e-06
USF1	8.66054195069965e-06
BNC2	8.65944086099984e-06
LRRC61	8.65767702436143e-06
LINC00900	8.65582835357215e-06
ELOVL5	8.65301430867388e-06
YTHDC2	8.64688925701487e-06
ATP6AP1L	8.64355600602008e-06
KCNK7	8.639186657112e-06
MMUT	8.63903375898622e-06
P3H1	8.63737347057812e-06
C3orf86P	8.63378488016215e-06
CD47	8.62953278810041e-06
RPS20	8.62786964356954e-06
TRBV11-2	8.62319854072497e-06
COA6	8.62306268551573e-06
CEP57	8.62024664863014e-06
C1GALT1	8.61966780987482e-06
RWDD3	8.61850235619439e-06
CCDC6	8.61839663318917e-06
LGSN	8.6165992093579e-06
CCR3	8.61444435855636e-06
CEP97	8.61390537702255e-06
KLRK1	8.61220696488261e-06
GABBR1	8.61159861659397e-06
POLR2L	8.61020477957275e-06
KLRG1	8.60996027015099e-06
COMMD10	8.60926208449839e-06
LRRC23	8.60907420699559e-06
TRIM38	8.60365197377799e-06
PSPC1	8.60211061008523e-06
IFFO1	8.59874647343348e-06
ANK3	8.59541609115783e-06
CWF19L1	8.59238603796513e-06
UGCG	8.59201398800122e-06
GOLGA7	8.58904145024623e-06
MPZL3	8.58337361565323e-06
CAHM	8.57660000802272e-06
LARP1	8.57599824998731e-06
VLDLR	8.57517696739931e-06
ANKRD34B	8.57353608572214e-06
TAF1A	8.57322848982729e-06
B4GALT4	8.57184596956727e-06
C3orf20	8.5709223226983e-06
SRPK2	8.57049504267909e-06
USP49	8.56865071295041e-06
CDK13	8.56861637355548e-06
PTGDR2	8.56374216921843e-06
ANKRD22	8.56169629123871e-06
CCR9	8.56135799900029e-06
SLC22A15	8.56067987387993e-06
ATOX1	8.55998635756496e-06
TNFSF4	8.55898467496539e-06
CCDC167	8.55891606838638e-06
DENND1A	8.55829730191874e-06
TBC1D9B	8.55093301753292e-06
FCRL3	8.54814545559378e-06
IRAK1BP1	8.54410193419188e-06
EPHA1	8.53956805275449e-06
KYAT3	8.53913096323617e-06
OR6K3	8.53305071324493e-06
CKAP2-DT	8.53300914928651e-06
LINC02724	8.53068972054553e-06
PRRG4	8.5306128116182e-06
CNTNAP2	8.53039241534222e-06
TRAF5	8.52724386047711e-06
PER3	8.52550448687082e-06
RPS25	8.52529988559196e-06
PSMB1	8.5239279995505e-06
TUFT1	8.52225714022645e-06
NUDT18	8.51893397513093e-06
KCNMB1	8.5172236789007e-06
PODXL2	8.51568126575939e-06
CACNA1D	8.51399265129359e-06
KDM7A	8.51339251521924e-06
PPHLN1	8.51062467027819e-06
ST8SIA1	8.5102761100687e-06
CACFD1	8.50991613756691e-06
DYNLT1	8.50968209254938e-06
PNPLA2	8.50953932667027e-06
LCN12	8.5053224334279e-06
LINC02731	8.50508524177153e-06
RBM6	8.50493891500389e-06
SEMA3C	8.50381314804519e-06
PPIL1	8.50152028905921e-06
EDEM3	8.49948768859056e-06
LINC02446	8.49928561893501e-06
HOOK1	8.49789714188132e-06
ZSCAN9	8.49741251614982e-06
GSTM5	8.49341557251219e-06
OAT	8.49145510322333e-06
FBXO10	8.49048331638977e-06
SLC9A1	8.48510114002237e-06
