DiseaseID	Score
143890	1.94642595865812e-05
601410	1.51693902818412e-05
222100	1.37422022636672e-05
601665	1.30573370334766e-05
615474	8.20676563716752e-06
613375	8.12413811996802e-06
125853	8.05930929504946e-06
151660	7.77654655592666e-06
608594	7.76992240814042e-06
603776	7.73887325431684e-06
615703	7.45793294554615e-06
614736	7.41086844968566e-06
602522	7.12123764830058e-06
269700	6.76877157345974e-06
615158	6.72978760374776e-06
610947	6.57107192434181e-06
616192	6.50297502071501e-06
219090	6.36978922064845e-06
603813	6.3619729310645e-06
614190	6.13198732528803e-06
602014	5.90674931861356e-06
605814	5.71222278370522e-06
167800	5.49536486820155e-06
144250	3.90967317378358e-06
238600	3.51959951260467e-06
125852	8.89950630882995e-07
616214	8.22484131942447e-07
240900	6.56009620765755e-07
602247	6.2123783887798e-07
614028	6.17575610889549e-07
613677	5.67314932622904e-07
144650	5.5316030057216e-07
602025	5.4622618929723e-07
615457	5.37900783641518e-07
144300	5.35450502241776e-07
203800	5.31736481021383e-07
190430	5.27840736110125e-07
107741	5.26928293315921e-07
144400	5.19939229055971e-07
612520	5.11073764202726e-07
304900	4.95735896472992e-07
616511	4.93882601636613e-07
144010	4.67976680123423e-07
616329	4.53540197404185e-07
136120	4.49471471444521e-07
262190	4.47879683829942e-07
207750	4.34518635492071e-07
108725	4.26349625879982e-07
601666	4.23342090086144e-07
605019	4.20599237612823e-07
147630	4.1998641513255e-07
612780	4.15704616222588e-07
613877	4.15015899008547e-07
240600	4.10647350270283e-07
608600	3.93891447947308e-07
277460	3.75539673277833e-07
612526	3.74239092247544e-07
604367	3.71052653488518e-07
145750	3.69377159783614e-07
615954	3.69208484352632e-07
223500	3.65710613418231e-07
610374	3.55980348502714e-07
608320	3.48254875968376e-07
215720	3.46779793363351e-07
607364	3.33576708166652e-07
246200	3.25349261911186e-07
125800	3.24956551727474e-07
615238	3.03402660797207e-07
614496	2.82648863279735e-07
614492	2.72300877532007e-07
260370	2.70306952922382e-07
614495	2.62631264866867e-07
144600	2.60402625733354e-07
615830	2.54399482634833e-07
615962	2.53363265074102e-07
263800	2.46494635600552e-07
306000	2.46437215067944e-07
601942	2.41802225065615e-07
610600	2.37150330428614e-07
610475	2.34415028631114e-07
610489	2.34415028631114e-07
219080	2.34415028631114e-07
610508	2.31202998884666e-07
260350	2.23406438821034e-07
601198	2.21682265909317e-07
601820	2.19768815544142e-07
614491	2.19638049148677e-07
613090	2.17625842597656e-07
125851	2.14402339517354e-07
125850	2.12695887389829e-07
601678	2.12186694502996e-07
300200	2.11984527449769e-07
615160	2.1123011230058e-07
154020	2.06060335592646e-07
608709	2.04373346940729e-07
611718	2.04086553992177e-07
241200	2.01480568440035e-07
103900	1.97868581517322e-07
606824	1.67293235032373e-07
606392	1.63031032685487e-07
177200	1.59815800603805e-07
152200	1.57223555671249e-07
615812	1.56824328316408e-07
600496	1.54758900280682e-07
615947	1.54203040811398e-07
143470	1.53154509287447e-07
145260	1.51240340286845e-07
300539	1.49648451540432e-07
613327	1.45163237166663e-07
118830	1.41297024935448e-07
143860	1.4002625172224e-07
600089	1.39935487809048e-07
610582	1.39060137853235e-07
605115	1.31573804293655e-07
606721	1.27779993243268e-07
191540	1.26445039634228e-07
614025	1.20472426559463e-07
126900	1.18739914280323e-07
613370	1.17685009520619e-07
229500	1.16813060642462e-07
608189	1.12549022136988e-07
605911	1.09568852109157e-07
612227	1.09216255025552e-07
612225	1.08466407002671e-07
614662	1.08262827476454e-07
613743	1.06051294855336e-07
126150	1.03250537477838e-07
191530	1.02551769679339e-07
232220	1.01713023540797e-07
606394	1.00131124713361e-07
616095	1.00076841266879e-07
167755	9.88876253911955e-08
612671	9.7620713914653e-08
