DiseaseID	Score	DiseaseName
143890	1.37986014264099e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
222100	1.27550389167175e-05	TYPE 1 DIABETES MELLITUS
613375	8.69943644731694e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
608594	8.06121390674297e-06	NA
601665	7.64303522203244e-06	NA
601410	6.79026441611042e-06	TYPE 1 DIABETES MELLITUS 2
219090	5.41483921729955e-06	NA
269700	5.26116320365171e-06	NA
151660	4.42282015110526e-06	NA
602522	4.32920267600748e-06	NA
167800	4.29827569025704e-06	NA
603813	4.23682027570381e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
605814	4.21988913508801e-06	NA
615474	4.10921759976976e-06	NA
603776	4.064318028247e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
610947	3.88478732300252e-06	NA
615158	3.88075238756196e-06	NA
615703	3.78943756396278e-06	NA
602014	3.45627307522911e-06	NA
614190	3.43134001860064e-06	NA
614736	3.03141177475606e-06	NA
144250	2.89276240080529e-06	NA
616192	2.80905304781999e-06	NA
125853	2.78496865252991e-06	TYPE 2 DIABETES MELLITUS
238600	2.63020286808102e-06	NA
616214	5.49172244892156e-07	NA
125852	5.44366789200541e-07	NA
613677	4.24529450960709e-07	NA
602247	4.24438296977158e-07	NA
203800	4.10383812775184e-07	NA
240900	4.07662006949441e-07	NA
304900	3.99872487642062e-07	NA
614028	3.94052023642999e-07	NA
144650	3.60514218940781e-07	NA
147630	3.60341209108241e-07	NA
144300	3.59678858800065e-07	NA
602025	3.57470481315801e-07	NA
107741	3.54341012459258e-07	NA
615457	3.52106890150732e-07	NA
190430	3.4597910695649e-07	NA
144400	3.44796458982921e-07	NA
240600	3.44120163740555e-07	NA
144010	3.27944359344073e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
136120	3.17029827718445e-07	NA
262190	3.14037847655033e-07	NA
613877	3.13669027044399e-07	NA
207750	3.1035191107714e-07	NA
608600	3.09455596397395e-07	NA
612526	3.00242014533092e-07	NA
604367	2.95437979633072e-07	NA
125800	2.94825485612803e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
616511	2.83648833144078e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
605019	2.66259116830127e-07	NA
277460	2.62245438582993e-07	NA
616329	2.61978328673548e-07	NA
246200	2.61890367716459e-07	NA
108725	2.56125119650754e-07	NA
612780	2.51665686621696e-07	NA
612520	2.48446929301444e-07	NA
215720	2.43822970172398e-07	NA
145750	2.34717010550602e-07	NA
615238	2.28949222730003e-07	NA
615954	2.2846754886258e-07	NA
608320	1.99561172166793e-07	NA
601666	1.97415801334696e-07	NA
607364	1.93796904631086e-07	NA
615830	1.84239475026895e-07	NA
306000	1.80280939822781e-07	NA
615962	1.72889170599853e-07	NA
219080	1.72085976483802e-07	NA
610475	1.72085976483802e-07	NA
610489	1.72085976483802e-07	NA
144600	1.70541254713389e-07	NA
223500	1.63737747821009e-07	NA
260350	1.62218697739682e-07	NA
610374	1.58276603430727e-07	NA
614496	1.55452065850093e-07	NA
614492	1.48913673343628e-07	NA
601820	1.48387726292819e-07	NA
263800	1.48008202776028e-07	NA
260370	1.45722516414165e-07	NA
610600	1.45161012807212e-07	NA
610508	1.43971452132804e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
608709	1.43081102978817e-07	NA
614495	1.42998912043499e-07	NA
613327	1.40183502140519e-07	NA
125851	1.35878016692364e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
613090	1.35425484145961e-07	NA
125850	1.34751877873596e-07	MATURITY-ONSET DIABETES OF THE YOUNG
601198	1.30436590068824e-07	NA
601678	1.30248515273721e-07	NA
241200	1.22865837164019e-07	NA
154020	1.20707847134719e-07	NA
611718	1.19622049873983e-07	NA
614491	1.18659884258256e-07	NA
601942	1.15712405204513e-07	NA
615160	1.083328748779e-07	NA
118830	1.06585599753357e-07	NA
613370	1.02447169854306e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
152200	1.00247952133277e-07	NA
300200	9.7762915287193e-08	NA
614662	9.75286952976818e-08	NA
612225	9.68020003197407e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
615947	9.49809047869846e-08	NA
606394	9.30332534493366e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
615812	9.14469046795278e-08	NA
103900	9.02706504460259e-08	NA
609734	8.96067214725484e-08	NA
143470	8.86266305874306e-08	NA
608189	8.51256652174873e-08	NA
177200	8.40273727629473e-08	NA
614025	8.36895589054618e-08	NA
191540	8.01537784434374e-08	NA
300539	7.99025904393931e-08	NA
606824	7.97169996640467e-08	NA
606721	7.96190858880644e-08	NA
145260	7.89802346634674e-08	NA
612227	7.51115377404818e-08	NA
232220	7.38893034211953e-08	NA
229500	7.23407573409685e-08	NA
167755	7.20982999078722e-08	NA
606392	7.00425398476298e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
605115	6.83356938204709e-08	NA
276700	6.68740568924784e-08	NA
609812	6.66875693574831e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
600496	6.66453603305139e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
208300	6.47436692852639e-08	NA
143860	6.3697776155893e-08	NA
613347	6.32915067538713e-08	NA
605911	6.27484593340506e-08	NA
167770	6.10941688112827e-08	NA
616095	5.98463553413879e-08	NA
613743	5.92922389038402e-08	NA
151800	5.90982738289405e-08	NA
600089	5.84671499361271e-08	NA
610582	5.79007314409236e-08	NA
612671	5.75842392012867e-08	NA
615751	5.73082050078591e-08	NA
126150	5.60388571077992e-08	NA
191530	5.52637937058711e-08	NA
232200	5.48510680809166e-08	NA
260450	5.48250563940469e-08	NA
614033	5.34572125751697e-08	NA
269200	5.28693381272065e-08	NA
209300	5.27350389990262e-08	NA
615026	5.24392620570628e-08	NA
268040	5.18868237948698e-08	NA
171200	5.10821190274476e-08	NA
103230	5.09589119029552e-08	NA
609975	4.96007190848423e-08	NA
